canonical_smiles,standard_value,log_papp
C=C(C)[C@@H]1CC[C@]2(C(=O)O)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)Cc6nccnc6C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12,0.33,-0.4814860601221125
C=C(C)[C@@H]1CC[C@]2(C(=O)OCc3cn([C@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)nn3)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12,0.16,-0.7958800173440752
C=C(C)[C@@H]1CC[C@]2(C(=O)OCc3cn([C@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)nn3)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)Cc6nccnc6C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12,0.12,-0.9208187539523752
C=C(C)[C@@H]1CC[C@]2(C(=O)OCc3cn([C@H]4O[C@H](COC(C)=O)[C@@H](OC(C)=O)[C@H](OC(C)=O)[C@H]4OC(C)=O)nn3)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12,0.28,-0.5528419686577808
C=C(C)[C@@H]1CC[C@]2(C(=O)OCc3cn([C@H]4O[C@H](COC(C)=O)[C@@H](OC(C)=O)[C@H](OC(C)=O)[C@H]4OC(C)=O)nn3)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)Cc6nccnc6C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12,1.67,0.22271647114758325
C=C(C)c1c([C@@H](CC(=O)O)CC(=O)Nc2ccc(C)cc2C)noc1[C@H]1C[C@@H](CC(C)C)C1,27.6,1.4409090820652177
C=C(C=O)[C@@H]1CC[C@]2(C(=O)O)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)Cc6nccnc6C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12,1.54,0.18752072083646307
C=C(C=O)[C@@H]1CC[C@]2(C(=O)OCc3cn([C@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)nn3)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12,0.17,-0.769551078621726
C=C(C=O)[C@@H]1CC[C@]2(C(=O)OCc3cn([C@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)nn3)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)Cc6nccnc6C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12,1.05,0.021189299069938092
C=C(C=O)[C@@H]1CC[C@]2(C(=O)OCc3cn([C@H]4O[C@H](COC(C)=O)[C@@H](OC(C)=O)[C@H](OC(C)=O)[C@H]4OC(C)=O)nn3)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12,0.32,-0.494850021680094
C=C(C=O)[C@@H]1CC[C@]2(C(=O)OCc3cn([C@H]4O[C@H](COC(C)=O)[C@@H](OC(C)=O)[C@H](OC(C)=O)[C@H]4OC(C)=O)nn3)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)Cc6nccnc6C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12,0.12,-0.9208187539523752
C=C(CC(=O)Nc1ccc(CCCCCC)cc1)C(=O)O,57.0,1.7558748556724915
C=C(CCCCC)c1c(C)[nH]c2cc(OC)c(Cl)cc2c1=O,761.5,2.8816699076720615
